My age is:,I've worked in design for:,I make:,My job is great because:,My skills include:,I am:,I work in:,I typically work:
37,10 - 14 years,"$150,000 to $199,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work,Coding|Data visualization|Leadership|Mentoring|UX design,"Happy, but there's room for improvement",Experience design|Interaction design|Research|Strategy|UX design,41 - 50 hours
30,5 - 9 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I'm solving worthwhile problems|I have no problem acquiring new client work,Facilitation|Project management|Research|UX design|Writing (published articles),Extremely satisfied with my work situation,Experience design|Research|Service design|Social impact design|UX design,61 + hours
27,Less than 1 year,"$35,000 to $49,999",I have the opportunity to learn new skills|There's room to grow in my role|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side),Facilitation|Leadership|Project management|Public speaking|Research,"Happy, but there's room for improvement",Communication / Graphic design|Research|Social impact design,40 hours
35,5 - 9 years,"$50,000 to $74,999",I have the opportunity to learn new skills|My role is valued|The standard of work is pretty high|I respect the people I work with|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Data visualization|Film / Video|Leadership|Mentoring,"Not really satisfied, but I deal",Communication / Graphic design|Education|Illustration|Social impact design|Strategy,40 hours
22,1 - 4 years,"$50,000 to $74,999",I have the opportunity to learn new skills|Benefits are sufficient (and maybe some perks on the side),Art direction|Copywriting|Photography,"Not really satisfied, but I deal",Communication / Graphic design,40 hours
23,1 - 4 years,"$35,000 to $49,999",I have the opportunity to learn new skills|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I have a manageable workload,Coding|Data visualization|UI design|UX design,"Not really satisfied, but I deal",Interaction design|Research|Strategy|UI design|UX design,40 hours
28,1 - 4 years,"$35,000 to $49,999",I have the opportunity to learn new skills|The standard of work is pretty high|I respect the people I work with|Benefits are sufficient (and maybe some perks on the side),Data visualization|Leadership|Photography|Project management|Writing (published articles),"Not really satisfied, but I deal",Communication / Graphic design|Data science|Education|Research,40 hours
55,20+ years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|I'm in the position to scale my business,Art direction|Business development|Film / Video|Leadership|UI design,"Happy, but there's room for improvement",Communication / Graphic design|Packaging design|UI design,41 - 50 hours
27,5 - 9 years,"$75,000 to $99,999",I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Photography|UI design|UX design,"Happy, but there's room for improvement",Interaction design|UI design|UX design,41 - 50 hours
25,1 - 4 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I feel creatively satisfied|I respect the people I work with|I'm solving worthwhile problems|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work|I have a manageable workload,Coding|Drawing / Painting|Leadership|Mentoring|Project management,Extremely satisfied with my work situation,Communication / Graphic design|Illustration,40 hours
27,1 - 4 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I feel creatively satisfied|The standard of work is pretty high|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,"3D / Animation software (Rhino, After Effects, Unity, etc.)|Coding|Drawing / Painting|UI design|UX design","Happy, but there's room for improvement",Experience design|Interaction design|Research|UI design|UX design,40 hours
25,1 - 4 years,"$35,000 to $49,999",I have the opportunity to learn new skills|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth,Art direction|Coding|Data visualization|UI design|UX design,"Not really satisfied, but I deal",Communication / Graphic design|UI design|UX design,40 hours
23,5 - 9 years,"Less than $25,000",I have the opportunity to learn new skills|There's room to grow in my role,Art direction|Leadership|Project management|Public speaking|Research,"Happy, but there's room for improvement",Environmental design,40 hours
23,1 - 4 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I have a manageable workload,Art direction|Project management,"Happy, but there's room for improvement",Communication / Graphic design|Illustration,40 hours
42,15 - 20 years,"$75,000 to $99,999",I have a lot of autonomy and  freedom to make decisions|My role is valued|I respect the people I work with|There's flexibility over where and when I work|I'm in the position to scale my business,Business development|Facilitation|Leadership|Project management|Public speaking,"Happy, but there's room for improvement",Communication / Graphic design|Education|Experience design|Motion graphics|Strategy,41 - 50 hours
51,20+ years,"$75,000 to $99,999",The standard of work is pretty high|There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side),Art direction|Copywriting|Leadership|Mentoring|Project management,"Not really satisfied, but I deal",Communication / Graphic design|Education,40 hours
36,15 - 20 years,"$35,000 to $49,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's flexibility over where and when I work,Coding|Data analysis|Drawing / Painting|UI design|UX design,"Happy, but there's room for improvement",Communication / Graphic design|Data science|Illustration|UI design|UX design,40 hours
54,5 - 9 years,"$50,000 to $74,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|My role is valued|I respect the people I work with|I'm solving worthwhile problems|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have no problem acquiring new client work,Art direction|Data visualization|Project management,Extremely satisfied with my work situation,Communication / Graphic design,41 - 50 hours
60,20+ years,"$75,000 to $99,999",There's flexibility over where and when I work|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,Art direction|Photography|Project management|Public speaking,"Not really satisfied, but I deal",Communication / Graphic design|Education|Experience design|Illustration|Research,41 - 50 hours
24,1 - 4 years,"$100,000 to $149,999",I have a lot of autonomy and  freedom to make decisions|I have the opportunity to learn new skills|There's room to grow in my role|I respect the people I work with|There's flexibility over where and when I work|I'm paid what I'm worth|Benefits are sufficient (and maybe some perks on the side)|I have a manageable workload,AI / Algorithm design|Art direction|Photography|UI design|UX design,Extremely satisfied with my work situation,Interaction design|UI design|UX design,Less than 40 hours
